Topic,Question,ChoiceA,ChoiceB,ChoiceC,ChoiceD,Answer,Explanation
Figurative Language,"Which of the following is an example of a euphemism?","A. I'm so hungry, I could eat a horse!","B. It's not like he could've stopped the fire, he had the fire extinguisher!","C. You might find yourself between jobs if you keep missing deadlines.","D. She looks like she ran into a cactus.","C","'Between jobs' is a softer way of saying unemployed, which is a euphemism."
Figurative Language,"What type of figurative language does this scenario use: An elephant's trunk is compared to a gardening hose using the word 'like'.","A. Simile","B. Metaphor","C. Oxymoron","D. Personification","A","A simile uses 'like' or 'as' to compare two things."
Figurative Language,"What type of figurative language does this sentence use: 'You are a sight for sore eyes!'","A. Onomatopoeia","B. Metaphor","C. Pun","D. Simile","B","This is a metaphor meaning someone is a welcome sight."
Figurative Language,"What type of figurative language does this sentence use: 'Skrrrt!'","A. Understatement","B. Onomatopoeia","C. Symbolism","D. Dramatic Irony","B","Onomatopoeia imitates sound."
Figurative Language,"What type of figurative language does this sentence use: 'The palm trees danced in the wind.'","A. Verbal Irony","B. Metaphor","C. Dramatic Irony","D. Personification","D","Trees are given human action, which is personification."

Subject-Verb Agreement,"Which of the following is used as singular?","A. Anyone","B. Both","C. Few","D. Many","A","'Anyone' refers to a single indefinite person."
Subject-Verb Agreement,"Which of the following is used as plural?","A. Anyone","B. Many","C. Everybody","D. Nobody","B","'Many' refers to multiple people or things."
Subject-Verb Agreement,"Which of the following is used as plural?","A. Everything","B. No one","C. Several","D. Anybody","C","'Several' indicates more than one."
Subject-Verb Agreement,"Fill in the blank: There _____ be some drawbacks to a STEM-focused education.","A. May","B. Has","C. Have","D. Been","A","'May be' expresses possibility."
Subject-Verb Agreement,"Fill in the blank: Here _____ some evidence that entrance test scores predict Pisay grades.","A. Are","B. May","C. Have","D. Is","D","'Evidence' is uncountable and takes singular verb 'is'."

Direct and Indirect Speech,"Which correctly rewrites in direct form: She said that she was tired.","A. She said, 'I am tired.'","B. I said, 'I am tired.'","C. She said I am tired.","D. She is tired.","A","Direct speech uses quotation marks and adjusts tense."
Direct and Indirect Speech,"Which correctly rewrites in indirect form: She said, 'I am tired.'","A. She said that she was tired.","B. She says she is tired.","C. She said she is tired.","D. She told I am tired.","A","Indirect speech reports meaning with tense shift."
Direct and Indirect Speech,"Which correctly rewrites in direct form: He said that he was late.","A. He said, 'I am late.'","B. He said, 'He is late.'","C. He said, 'I was late.'","D. He is late.","C","Direct speech restores original wording."
Direct and Indirect Speech,"Which correctly rewrites in indirect form: 'They are coming,' she said.","A. She said that they were coming.","B. She said they are coming.","C. They said she was coming.","D. She says they come.","A","Present tense shifts to past in indirect speech."
Direct and Indirect Speech,"Which correctly rewrites in direct form: The teacher said that the class was noisy.","A. The teacher said, 'The class is noisy.'","B. The teacher said, 'Class is noise.'","C. Teacher says class is noisy.","D. The class was noisy.","A","Direct speech restores original statement."

Elements of a Short Story,"What point of view uses an outside narrator who knows all thoughts of characters?","A. First Person","B. Second Person","C. Third Person","D. Omniscient Third Person","D","Omniscient POV knows everything about all characters."
Elements of a Short Story,"What introduces characters and setting?","A. Climax","B. Exposition","C. Resolution","D. Falling Action","B","Exposition provides background information."
Elements of a Short Story,"What is the turning point of a story?","A. Exposition","B. Climax","C. Rising Action","D. Theme","B","Climax is the most intense point."
Elements of a Short Story,"What resolves the conflict in a story?","A. Climax","B. Falling Action","C. Resolution","D. Exposition","C","Resolution ties up loose ends."
Elements of a Short Story,"Which shows events leading to the climax?","A. Exposition","B. Rising Action","C. Resolution","D. Theme","B","Rising action builds tension."

