"Topic","Question","ChoiceA","ChoiceB","ChoiceC","ChoiceD","Answer","Explanation"
"Computational Thinking","What is decomposition?","Breaking problems into smaller parts","Finding patterns","Creating algorithms","Testing solutions","A","It means dividing a complex problem into manageable pieces"
"Computational Thinking","Which skill identifies similarities?","Abstraction","Pattern recognition","Algorithm design","Debugging","B","Pattern recognition finds similarities"
"Computational Thinking","What is abstraction?","Ignoring details","Adding details","Simplifying by focusing on important info","Testing code","C","Abstraction focuses on key details only"
"Computational Thinking","Algorithm means?","Step-by-step solution","Random guess","Loop statement","Variable","A","Algorithm is a sequence of steps"
"Computational Thinking","Debugging is?","Writing code","Fixing errors","Running code","Compiling","B","Debugging means correcting mistakes"

"Modular Programming","What is modular programming?","Dividing code into modules","Writing long code","Using one function","Ignoring errors","A","It splits programs into reusable parts"
"Modular Programming","Module means?","Whole program","Small independent part","Variable","Loop","B","Modules are small sections of code"
"Modular Programming","Advantage of modularity?","Harder debugging","Easier maintenance","Longer code","More errors","B","Modules simplify maintenance"
"Modular Programming","Reusability means?","Rewrite code","Reuse code","Delete code","Ignore code","B","Modules can be reused"
"Modular Programming","Encapsulation is?","Hiding details","Showing all code","Deleting functions","Compiling","A","Encapsulation hides complexity"

"Selection Structure","Selection structure uses?","If statements","Loops","Arrays","Functions","A","It uses decision-making statements"
"Selection Structure","If-else is used for?","Repeating","Deciding","Storing","Calculating","B","It handles conditions"
"Selection Structure","Condition must be?","True/False","Integer","String","Float","A","Conditions evaluate to boolean"
"Selection Structure","Switch statement is?","Loop","Selection","Array","Function","B","Switch is a selection structure"
"Selection Structure","Else runs when?","Condition true","Condition false","Always","Never","B","Else runs when condition fails"

"IDE","IDE stands for?","Integrated Development Environment","Internal Data Engine","Input Device Editor","Internet Data Exchange","A","Correct expansion"
"IDE","IDE is used for?","Gaming","Programming","Drawing","Music","B","Used for coding"
"IDE","Example of IDE?","Photoshop","PyCharm","Word","Excel","B","PyCharm is an IDE"
