Topic,Question,ChoiceA,ChoiceB,ChoiceC,ChoiceD,Answer,Explanation
Nature of Biology,"What does biology study?","Rocks","Life and living organisms","Planets","Energy only","B","Biology studies living organisms"
Nature of Biology,"Which is NOT a branch of biology?","Botany","Zoology","Astronomy","Microbiology","C","Astronomy studies space, not life"
Nature of Biology,"Biology is based on what process?","Random guessing","Scientific inquiry","Myths","Opinions only","B","Biology uses scientific inquiry"
Nature of Biology,"Why is biology important?","Explains living systems","Studies rocks","Ignores life","Avoids science","A","It explains how living systems work"
Nature of Biology,"Biology is a branch of?","Physical science","Life science","Earth science","Computer science","B","Biology is a life science"

Characteristics of Life,"Which is a characteristic of life?","Movement only","Growth and reproduction","Color","Shape","B","Living things grow and reproduce"
Characteristics of Life,"Which is NOT a characteristic of life?","Response to stimuli","Organization","Random motion of objects","Metabolism","C","Random motion is not a life trait"
Characteristics of Life,"All living things are made of?","Rocks","Cells","Air","Energy","B","All organisms are made of cells"
Characteristics of Life,"Metabolism is?","Energy use","Color change","Size increase","Shape change","A","Metabolism is energy use"
Characteristics of Life,"Living things maintain?","Chaos","Homeostasis","Randomness","Disorder","B","Homeostasis is internal balance"

Unifying Themes,"What is the basic unit of life?","Atom","Cell","Tissue","Organ","B","Cell is the basic unit of life"
Unifying Themes,"Heredity involves?","Energy transfer","Trait passing","Heat loss","Movement","B","Heredity is passing traits"
Unifying Themes,"Evolution explains?","Random rocks","Diversity of life","Weather","Physics","B","Evolution explains biodiversity"
Unifying Themes,"Energy in ecosystems comes from?","Animals","Sun","Rocks","Water","B","Energy originates from the sun"
Unifying Themes,"Structure relates to?","Function","Color","Size","Weight","A","Structure determines function"

Science as Inquiry,"First step in scientific method?","Conclusion","Observation","Experiment","Hypothesis","B","Observation starts inquiry"
Science as Inquiry,"A hypothesis is?","Random guess","Testable explanation","Fact","Law","B","A hypothesis is testable"
Science as Inquiry,"Data means?","Opinions","Collected information","Stories","Ideas","B","Data is collected information"
Science as Inquiry,"Variable is?","Constant factor","Changing factor","Result","Conclusion","B","Variable is what changes"
Science as Inquiry,"Conclusion is based on?","Guessing","Data","Emotion","Random choice","B","Based on experimental data"

Evolution,"Who proposed natural selection?","Darwin","Mendel","Newton","Pasteur","A","Charles Darwin proposed it"
Evolution,"Natural selection means?","Survival of best adapted","Survival of strongest only","Random survival","No change","A","Best adapted survive"
Evolution,"Evolution results in?","No change","Genetic change","Random color","Size only","B","Evolution is genetic change"
Evolution,"Variation is caused by?","Mutation","Weather","Food","Water","A","Mutations create variation"
Evolution,"Adaptation helps organisms?","Die faster","Survive better","Stop evolving","Stay same","B","Adaptation improves survival"

Descent with Modification,"Offspring inherit?","Random traits","Parental traits","Weather","Rocks","B","Traits come from parents"
Descent with Modification,"Evolution happens over?","Seconds","Generations","Minutes","Hours","B","Evolution takes generations"
Descent with Modification,"Species change due to?","No reason","Environmental pressure","Random noise","Color only","B","Environment drives change"
Descent with Modification,"Fossils show?","Future life","Past life","Random objects","Weather","B","Fossils show past life"
Descent with Modification,"Common ancestry means?","Same food","Shared ancestor","Same size","Same color","B","Species share ancestor"

Microscope,"Microscope is used to study?","Stars","Cells","Mountains","Clouds","B","Microscopes study cells"
Microscope,"Electron microscope uses?","Light","Electrons","Sound","Heat","B","Uses electrons for imaging"
Microscope,"Highest magnification gives?","Blurry image","More detail","Less detail","No image","B","Higher magnification shows more detail"
Microscope,"Objective lens is used to?","Heat","Magnify","Cool","Measure","B","Objective lens magnifies"
Microscope,"Stage holds?","Light","Specimen","Air","Lens","B","Stage holds specimen"

Cell,"Basic unit of life is?","Atom","Cell","Organ","Tissue","B","Cell is the basic unit"
Cell,"Nucleus controls?","Movement","Cell activities","Color","Size","B","Nucleus controls cell functions"
Cell,"Cytoplasm is?","Outer layer","Jelly-like fluid","Nucleus","DNA","B","Cytoplasm fills cell"
Cell,"Cell membrane is?","Rigid wall","Selective barrier","DNA","Protein only","B","Controls entry and exit"
Cell,"Ribosomes make?","Energy","Proteins","Water","Fat","B","Ribosomes make proteins"

Cell Membrane & Transport,"Diffusion is?","Active transport","Passive movement","Energy use","Growth","B","Diffusion is passive movement"
Cell Membrane & Transport,"Active transport requires?","No energy","Energy","Light","Heat","B","Requires ATP energy"
Cell Membrane & Transport,"Osmosis is movement of?","Proteins","Water","Salt","Sugar","B","Osmosis is water movement"
Cell Membrane & Transport,"Facilitated diffusion uses?","No proteins","Transport proteins","ATP","Heat","B","Uses transport proteins"
Cell Membrane & Transport,"Cell membrane is?","Fully open","Selectively permeable","Solid wall","Random","B","Controls what enters/exits"

Phylogeny,"Phylogeny studies?","Rocks","Evolutionary relationships","Weather","Cells","B","Studies evolutionary relationships"
Phylogeny,"Tree of life shows?","Colors","Evolution links","Chemistry","Physics","B","Shows evolutionary links"
Phylogeny,"Common ancestor means?","Same food","Shared origin","Same size","Same shape","B","Species share origin"
Phylogeny,"Cladogram shows?","Energy","Evolutionary branching","Temperature","Mass","B","Shows branching evolution"
Phylogeny,"Similar DNA suggests?","Randomness","Related species","Weather","Size","B","DNA similarity shows relation"
