Topic,Question,ChoiceA,ChoiceB,ChoiceC,ChoiceD,Answer,Explanation
Introduction to Social Science,"What does social science study?","A. Rocks and minerals","B. Human society and behavior","C. Stars and planets","D. Plants only","B","Social science studies human society and behavior"
Introduction to Social Science,"Which is a branch of social science?","A. Physics","B. Chemistry","C. Sociology","D. Astronomy","C","Sociology studies society"
Introduction to Social Science,"Why is social science important?","A. To study machines","B. To understand humans and society","C. To study rocks","D. To build computers","B","It explains human behavior and society"
Introduction to Social Science,"What method do social scientists use?","A. Scientific inquiry","B. Guessing only","C. Random selection","D. No method","A","They use systematic scientific methods"
Introduction to Social Science,"Which is NOT a social science?","A. Economics","B. History","C. Geography","D. Biology","D","Biology is a natural science"

Geography,"What does geography study?","A. Earth and its features","B. Animals only","C. Numbers only","D. Chemical reactions","A","Geography studies Earth and its features"
Geography,"Which is part of physical geography?","A. Culture","B. Mountains","C. Language","D. Economy","B","Mountains are physical features"
Geography,"What is human geography?","A. Study of rocks","B. Study of people and society","C. Study of planets","D. Study of atoms","B","Human geography studies people"
Geography,"What tool helps locate places?","A. Microscope","B. Map","C. Telescope","D. Compass only","B","Maps show locations"
Geography,"What is latitude?","A. Distance north or south of equator","B. Height of mountains","C. Speed of wind","D. Type of soil","A","Latitude measures north-south position"

Pre History,"What is prehistory?","A. Time before writing","B. Future events","C. Modern history","D. Space age","A","Prehistory is before writing systems"
Pre History,"How do we study prehistory?","A. Written records","B. Fossils and artifacts","C. Books only","D. Internet","B","Fossils and artifacts provide evidence"
Pre History,"What is an artifact?","A. Modern tool","B. Ancient object made by humans","C. Animal bone only","D. Plant fossil","B","Artifacts are human-made objects"
Pre History,"Which came first?","A. Writing","B. Stone tools","C. Printing press","D. Internet","B","Stone tools came first"
Pre History,"Why is prehistory important?","A. It explains early humans","B. It explains robots","C. It explains space","D. It explains weather","A","It shows human origins"

Stone Ages,"What tools were used in Stone Age?","A. Plastic tools","B. Stone tools","C. Metal tools","D. Glass tools","B","Early humans used stone tools"
Stone Ages,"Which came first?","A. Iron Age","B. Stone Age","C. Bronze Age","D. Modern Age","B","Stone Age is the earliest"
Stone Ages,"What was main activity?","A. Space travel","B. Farming and hunting","C. Programming","D. Manufacturing","B","Early humans hunted and gathered"
Stone Ages,"What material was used for tools?","A. Wood and plastic","B. Stone","C. Steel","D. Concrete","B","Stone was primary material"
Stone Ages,"How did early humans live?","A. Cities","B. Caves and shelters","C. Skyscrapers","D. Factories","B","They lived in caves/shelters"

Scavenging,"What is scavenging?","A. Growing crops","B. Collecting food from nature","C. Building houses","D. Hunting animals only","B","Scavenging is collecting available food"
Scavenging,"Who scavenges?","A. Farmers only","B. Early humans","C. Villagers only","D. Engineers","B","Early humans scavenged for food"
Scavenging,"What did scavengers rely on?","A. Technology","B. Environment","C. Money","D. Factories","B","They depended on nature"
Scavenging,"Is scavenging organized?","A. Yes","B. No","C. Always planned","D. Always modern","B","It is unstructured survival activity"
Scavenging,"What comes after scavenging?","A. Space travel","B. Agriculture","C. Robotics","D. Internet","B","Agriculture developed after scavenging"

Formation of Early Civilizations,"Where did civilizations form?","A. Deserts","B. Near rivers","C. Mountains only","D. Ice regions","B","Rivers provided water and farming"
Formation of Early Civilizations,"Why near rivers?","A. Water and fertile soil","B. Cold climate","C. Less animals","D. No sunlight","A","Rivers support agriculture"
Formation of Early Civilizations,"Example river civilization?","A. Amazon Basin","B. Mesopotamia","C. Sahara Desert","D. Antarctica","B","Mesopotamia was river-based"
Formation of Early Civilizations,"What allowed cities to grow?","A. Hunting only","B. Farming surplus","C. No food","D. Migration only","B","Surplus food supported cities"
Formation of Early Civilizations,"What is a civilization?","A. Random group","B. Organized society","C. Wild animals","D. Weather system","B","Civilization is organized society"

Rise of Greek Geography,"Who is Father of Geography?","A. Newton","B. Herodotus","C. Darwin","D. Einstein","B","Herodotus contributed geographic ideas"
Rise of Greek Geography,"What did Greeks study?","A. Planets only","B. Earth and maps","C. Atoms","D. Robots","B","They studied Earth and mapping"
Rise of Greek Geography,"Which Greek mapped Earth?","A. Eratosthenes","B. Plato","C. Aristotle","D. Homer","A","He calculated Earth's size"
Rise of Greek Geography,"What is geography from Greeks?","A. Study of gods","B. Study of Earth","C. Study of war","D. Study of art","B","Geography is Earth study"
Rise of Greek Geography,"What helped Greek geography?","A. Space tech","B. Observation and math","C. Computers","D. Factories","B","They used observation and reasoning"

Mesoamerican Civilization,"Which is Mesoamerican?","A. Aztec","B. Roman","C. Greek","D. Chinese","A","Aztecs were in Mesoamerica"
Mesoamerican Civilization,"Where located?","A. Europe","B. Americas","C. Asia","D. Africa","B","They were in Central America"
Mesoamerican Civilization,"What was important?","A. Pyramids","B. Skyscrapers","C. Trains","D. Airplanes","A","They built pyramids"
Mesoamerican Civilization,"What did they use for farming?","A. Desert sand","B. Chinampas","C. Ice fields","D. Concrete","B","They used floating gardens"
Mesoamerican Civilization,"Religion focused on?","A. Space gods","B. Many gods","C. One god","D. No belief","B","They were polytheistic"

Topic,Question,ChoiceA,ChoiceB,ChoiceC,ChoiceD,Answer,Explanation
African Civilization,"Which is a major African civilization?","A. Mali Empire","B. Roman Empire","C. Greek Empire","D. Aztec Empire","A","Mali was a powerful West African empire"
African Civilization,"What was Timbuktu known for?","A. Trade and learning center","B. Space research","C. Military base","D. Factory city","A","Timbuktu was a center of trade and education"
