Topic,Question,ChoiceA,ChoiceB,ChoiceC,ChoiceD,Answer,Explanation
Radical Expressions,"Simplify √49","A. 5","B. 6","C. 7","D. 8","C","√49 = 7 because 7×7 = 49"
Radical Expressions,"Simplify √50","A. 5√2","B. 10√2","C. 25√2","D. 2√5","A","√50 = √(25×2) = 5√2"
Radical Expressions,"√81 = ?","A. 7","B. 8","C. 9","D. 10","C","9×9 = 81"
Radical Expressions,"Which is irrational?","A. √16","B. √25","C. √2","D. √9","C","√2 cannot be written as a fraction"
Radical Expressions,"√36 − √9 = ?","A. 1","B. 2","C. 3","D. 4","C","6 − 3 = 3"

Radical Operations,"√16 + √9 = ?","A. 5","B. 6","C. 7","D. 8","C","4 + 3 = 7"
Radical Operations,"2√3 + 3√3 = ?","A. 5√3","B. 6√3","C. 7√3","D. 8√3","A","2 + 3 = 5"
Radical Operations,"√25 × √4 = ?","A. 6","B. 8","C. 10","D. 12","C","5 × 2 = 10"
Radical Operations,"√36 ÷ √9 = ?","A. 1","B. 2","C. 3","D. 4","C","6 ÷ 3 = 2"
Radical Operations,"3√2 + √2 = ?","A. 2√2","B. 3√2","C. 4√2","D. 5√2","C","3 + 1 = 4"

Radical Equations,"√x = 5, x = ?","A. 10","B. 15","C. 25","D. 30","C","Square both sides: x = 25"
Radical Equations,"√x + 2 = 6, x = ?","A. 9","B. 16","C. 25","D. 36","B","√x = 4 → x = 16"
Radical Equations,"Why check answers?","A. Avoid errors","B. Speed","C. Graphing","D. Guessing","A","Some solutions may be extraneous"
Radical Equations,"√x = 9, x = ?","A. 18","B. 27","C. 81","D. 72","C","Square both sides: x = 81"
Radical Equations,"√(x-1) = 4, x = ?","A. 15","B. 16","C. 17","D. 18","C","x - 1 = 16 → x = 17"

nth Roots,"³√8 = ?","A. 1","B. 2","C. 3","D. 4","B","2³ = 8"
nth Roots,"⁴√16 = ?","A. 1","B. 2","C. 3","D. 4","B","2⁴ = 16"
nth Roots,"³√27 = ?","A. 2","B. 3","C. 4","D. 5","B","3³ = 27"
nth Roots,"⁵√32 = ?","A. 1","B. 2","C. 3","D. 4","B","2⁵ = 32"
nth Roots,"²√1 = ?","A. 0","B. 1","C. 2","D. 3","B","Square root of 1 is 1"

Complex Numbers,"i² = ?","A. 1","B. -1","C. i","D. 0","B","i² = -1"
Complex Numbers,"(3 + 2i) + (1 + i) = ?","A. 4 + 3i","B. 3 + 3i","C. 4 + i","D. 5 + 3i","A","Combine like terms"
Complex Numbers,"(2i)(3i) = ?","A. 6","B. -6","C. 6i","D. -6i","B","i² = -1 so result is -6"
Complex Numbers,"i⁴ = ?","A. 1","B. -1","C. i","D. 0","A","i cycles every 4 powers"
Complex Numbers,"Complex numbers are?","A. Real only","B. Imaginary only","C. Both","D. None","C","Form a + bi"

Functions,"A function is?","A. One input one output","B. Random","C. Many outputs","D. No rule","A","Each input has one output"
Functions,"Slope formula?","A. y/x","B. (y2-y1)/(x2-x1)","C. x/y","D. y1+y2","B","Rise over run"
Functions,"x-axis is?","A. Vertical","B. Horizontal","C. Diagonal","D. Curve","B","x-axis is horizontal"
Functions,"y-axis is?","A. Vertical","B. Horizontal","C. Slanted","D. Circle","A","y-axis is vertical"
Functions,"Origin is?","A. (1,1)","B. (0,0)","C. (2,2)","D. (0,1)","B","Origin is (0,0)"

Systems,"One solution means?","A. Parallel","B. Intersecting","C. Same line","D. No graph","B","Lines intersect once"
Systems,"No solution means?","A. Intersecting","B. Same line","C. Parallel","D. Curved","C","Parallel lines never meet"
Systems,"Infinite solutions means?","A. Same line","B. Parallel","C. One point","D. None","A","Same equation"
Systems,"Solution is?","A. Slope","B. Point","C. Line","D. Equation","B","Intersection point (x,y)"
Systems,"Substitution means?","A. Replace variable","B. Graph","C. Multiply","D. Divide","A","Replace variable expression"
