Topic,Question,ChoiceA,ChoiceB,ChoiceC,ChoiceD,Answer,Explanation
History of Plate Tectonics,"What is an example of an evidence for the Continental Drift Theory?","A. Fossil Correlation","B. Matching coastlines","C. Both A and C","D. None of the above","C","Both fossil correlation and matching coastlines support continental drift"
History of Plate Tectonics,"Who proposed the continental drift theory?","A. Galileo Galilei","B. Alfred Wegener","C. Marie Tharp","D. Harry Hess","B","Alfred Wegener proposed continental drift"
History of Plate Tectonics,"The cycle of heating, rising, and sinking in the mantle is called?","A. Heat Currents","B. Compound Currents","C. Convection Currents","D. Magma Currents","C","Convection involves movement due to heat differences"
History of Plate Tectonics,"Where are the oldest rocks at mid-ocean ridges?","A. Near the middle","B. Near rift zone","C. Far from rift zone","D. Same age everywhere","C","Older rocks are pushed outward"
History of Plate Tectonics,"What are plate boundaries?","A. Where tectonic plates meet","B. No earthquake zones","C. Volcano chains only","D. None","A","Boundaries are where plates interact"

Tectonic Plates,"Which correctly orders Earth’s compositional layers?","A. Lithosphere, Asthenosphere, Mesosphere, Outer Core, Inner Core","B. Crust, Mantle, Core","C. Mantle, Crust, Core","D. Core, Mantle, Crust","B","Simplified structure is crust, mantle, core"
Tectonic Plates,"Which layer contains all rock types?","A. Crust","B. Mantle","C. Inner Core","D. Outer Core","A","All rock types exist in crust"
Tectonic Plates,"Fastest moving plate?","A. Philippine Plate","B. Pacific Plate","C. Eurasian Plate","D. African Plate","B","Pacific Plate moves fastest"
Tectonic Plates,"Best description of mantle?","A. Thin crust","B. Liquid metal","C. Slowly moving rock","D. Solid metal","C","Mantle is solid but flows slowly"
Tectonic Plates,"Where does convection occur?","A. Crust","B. Mantle","C. Inner Core","D. Outer Core","B","Convection happens in mantle"

Plate Boundaries,"Which boundary moves apart?","A. Convergent","B. Divergent","C. Transform","D. None","B","Divergent plates move apart"
Plate Boundaries,"Deepest earthquakes occur at?","A. Convergent","B. Divergent","C. Transform","D. None","A","Subduction zones create deep quakes"
Plate Boundaries,"What forms at divergent boundaries?","A. Mountains","B. Trenches","C. New crust","D. Faults","C","Magma creates new crust"
Plate Boundaries,"Transform boundaries create?","A. Volcanoes","B. Strike-slip faults","C. Mountains","D. Oceans","B","Plates slide past each other"
Plate Boundaries,"Which does NOT destroy crust?","A. Convergent","B. Divergent","C. Transform","D. Subduction","C","Transform only slides plates"

Volcanism,"Basaltic magma is?","A. Low silica, fluid","B. High silica","C. Thick magma","D. Solid rock","A","Low silica makes it runny"
Volcanism,"Which cuts across rock layers?","A. Batholith","B. Sill","C. Stock","D. Dike","D","Dikes cut through layers"
